pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
388.914142,191.065615,313.624547,53.099795,382.924991,-150.459358,NaN,NaN,494.824856,119.900058,354.536324,166.331343,257.541453,85.558046
389.379508,189.622447,314.080000,53.610000,NaN,NaN,515.171677,75.480647,489.082051,124.988418,353.681214,167.676233,255.600856,88.567081
388.914142,189.622447,314.310000,54.600000,313.376704,55.838746,514.880000,75.160000,488.820000,125.260000,353.681214,168.470392,255.600856,90.573104
388.448775,190.344031,314.710000,55.550000,314.581980,56.305963,514.890000,75.140000,485.369222,130.661773,353.681214,169.860172,256.894587,91.576116
386.587310,191.065615,315.090000,57.030000,316.389895,58.642046,514.910000,75.130000,485.124102,131.041850,353.681214,169.860172,255.600856,93.080633
387.052676,191.065615,315.270000,58.040000,316.992533,59.109263,514.890000,75.310000,483.163137,131.802003,353.681214,170.058712,256.894587,95.086656
386.587310,192.147991,315.550000,58.950000,318.800447,61.445347,514.840000,75.120000,480.466811,134.082465,353.681214,170.058712,256.894587,95.086656
386.587310,194.673534,316.220000,60.050000,318.800447,64.248647,514.348441,77.585883,478.260726,135.982850,353.425127,170.852871,258.188319,96.591173
385.656577,196.477494,316.570000,61.030000,313.376704,64.715864,511.479354,81.886317,478.015606,135.792811,352.656869,172.441190,258.188319,96.591173
384.260478,196.838286,317.200000,62.050000,315.184619,66.584731,510.714264,84.407261,475.319279,138.833427,351.632525,174.823669,258.835184,97.092679
383.795112,196.116702,317.610000,63.000000,316.389895,69.388031,509.375357,88.114531,474.583918,139.213504,351.632525,174.823669,259.482050,99.098702
383.795112,197.199077,318.180000,64.100000,316.992533,69.855248,508.418994,85.741878,474.583918,134.272504,351.120353,177.007607,259.482050,99.098702
385.656577,198.642245,318.600000,65.050000,316.992533,73.125765,507.080087,84.258970,472.868074,135.032657,350.864267,181.375485,259.482050,99.098702
382.864379,198.642245,319.140000,66.050000,317.595171,74.060198,507.845177,81.738026,472.377833,135.602773,350.864267,180.581325,261.422647,101.104725
381.627360,198.505597,319.650000,67.080000,318.197809,75.461848,507.860000,81.690000,470.661989,135.602773,350.608181,181.375485,261.422647,101.104725
378.869633,197.935456,320.070000,68.140000,318.197809,76.396282,507.870000,81.510000,470.661989,135.602773,350.352094,182.169644,261.422647,101.104725
378.318088,198.220526,320.630000,69.060000,318.197809,76.396282,507.850000,81.560000,468.210783,135.792811,349.839922,183.360884,261.422647,102.107737
378.134239,198.648132,321.080000,70.110000,319.403085,77.330715,507.840000,82.030000,468.210783,136.552965,349.583836,184.353583,261.422647,102.107737
378.134239,199.930947,317.247380,74.165276,320.005724,78.265149,507.900000,82.020000,466.740060,137.693196,348.815578,185.346282,261.422647,103.110748
379.053482,201.213763,316.550000,76.250000,320.005724,79.199582,502.107003,85.890169,465.514457,137.313119,347.791234,186.338982,261.422647,103.110748
378.869633,203.066719,316.810000,78.190000,320.608362,81.535666,501.724458,89.300858,462.818131,134.842619,346.510803,188.324381,261.422647,103.110748
377.950391,204.064464,317.050000,79.700000,320.005724,83.404533,499.811733,89.449148,462.082769,135.222696,345.742545,189.515620,261.422647,103.110748
375.560361,204.919675,317.080000,81.210000,319.403085,84.338966,498.472826,90.783766,461.102287,135.602773,344.974287,190.905399,261.422647,103.612254
377.431896,205.308308,317.140000,82.570000,319.403085,84.338966,498.664098,90.487184,458.896202,136.362927,343.693856,193.486418,261.422647,103.612254
377.173651,205.708735,317.030000,84.200000,319.403085,85.740616,498.281553,91.525220,455.219393,136.362927,343.437770,193.684957,261.422647,104.615266
376.140670,207.110233,317.070000,85.690000,320.005724,89.011133,497.325191,92.859837,453.503549,137.313119,342.925598,196.067436,263.363245,107.624300
374.591198,207.911088,317.090000,87.330000,320.005724,90.880000,496.368828,93.601291,449.336500,137.883234,342.669512,197.854295,263.363245,107.624300
372.783481,208.711944,317.050000,88.570000,320.005724,90.880000,495.412466,94.639327,446.395053,138.453350,342.370000,199.590000,267.244439,109.128818
373.014443,210.451358,317.040000,90.260000,320.005724,90.880000,494.456104,95.825653,442.963365,139.023465,342.020000,201.050000,267.244439,109.128818
373.014443,210.985262,317.040000,91.680000,320.005724,91.347217,494.073559,96.418817,439.776798,140.353735,341.750156,202.863797,267.244439,109.128818
372.249136,211.729165,317.100000,93.260000,319.403085,94.150517,492.543379,91.821802,436.345110,141.493965,341.750156,202.863797,267.244439,110.131829
371.947187,211.807197,317.070000,94.740000,320.005724,96.019384,492.543379,91.821802,434.384146,141.874042,341.750156,202.863797,267.244439,111.636346
